customer_id,name,email,phone,created_at
1,Aditya Jain,customer1@example.com,9746879296,2026-04-19
2,Riya Khan,customer2@example.com,9444898148,2026-02-16
3,Aditya Patel,customer3@example.com,9809656613,2026-01-27
4,Ananya Mishra,customer4@example.com,9747060047,2026-03-17
5,Rahul Mehta,customer5@example.com,9576642996,2026-04-20
6,Kavya Sharma,customer6@example.com,9880411013,2026-03-31
7,Simran Jain,customer7@example.com,9394801573,2026-04-01
8,Vivaan Gupta,customer8@example.com,9820678212,2026-06-13
9,Meera Patel,customer9@example.com,9650921917,2026-06-13
10,Rahul Sharma,customer10@example.com,9253308283,2026-06-23
11,Kavya Sharma,customer11@example.com,9235538456,2026-06-05
12,Karan Sinha,customer12@example.com,9792738367,2026-01-18
13,Neha Jain,customer13@example.com,9709074302,2026-04-04
14,Simran Verma,customer14@example.com,9829137330,2026-01-09
15,Neha Patel,customer15@example.com,9576676179,2026-04-26
16,Aditi Verma,customer16@example.com,9668503222,2026-01-20
17,Meera Patel,customer17@example.com,9797460535,2026-04-04
18,Karan Gupta,customer18@example.com,9127824235,2026-03-13
19,Pooja Yadav,customer19@example.com,9515524530,2026-02-17
20,Arjun Khan,customer20@example.com,9932111777,2026-05-24
21,Kavya Singh,customer21@example.com,9756998124,2026-03-08
22,Pooja Singh,customer22@example.com,9231680929,2026-03-15
23,Aditya Mishra,customer23@example.com,9285388355,2026-02-04
24,Aditya Sinha,customer24@example.com,9832215964,2026-04-24
25,Neha Mehta,customer25@example.com,9169727803,2026-03-23
26,Riya Khan,customer26@example.com,9422076028,2026-05-21
27,Rahul Sinha,customer27@example.com,9488149273,2026-02-10
28,Karan Gupta,customer28@example.com,9315801027,2026-05-11
29,Karan Sinha,customer29@example.com,9630452018,2026-02-05
30,Neha Yadav,customer30@example.com,9714478186,2026-01-07
31,Kavya Sinha,customer31@example.com,9692326390,2026-04-05
32,Simran Gupta,customer32@example.com,9170596494,2026-02-03
33,Meera Mehta,customer33@example.com,9871880418,2026-03-21
34,Nisha Jain,customer34@example.com,9925884151,2026-05-03
35,Aditi Gupta,customer35@example.com,9234568604,2026-04-15
36,Aditya Mishra,customer36@example.com,9600184588,2026-03-23
37,Nisha Patel,customer37@example.com,9237798236,2026-06-24
38,Aditi Verma,customer38@example.com,9924399252,2026-05-22
39,Sneha Yadav,customer39@example.com,9159499094,2026-02-03
40,Nisha Verma,customer40@example.com,9426551245,2026-02-01
41,Rahul Patel,customer41@example.com,9861639583,2026-02-12
42,Neha Yadav,customer42@example.com,9404994549,2026-02-27
43,Priya Singh,customer43@example.com,9781887358,2026-01-21
44,Priya Verma,customer44@example.com,9771112648,2026-05-22
45,Simran Yadav,customer45@example.com,9200317984,2026-03-19
46,Rahul Agarwal,customer46@example.com,9723464439,2026-05-09
47,Rahul Srivastava,customer47@example.com,9770529419,2026-02-09
48,Isha Tiwari,customer48@example.com,9705180256,2026-06-04
49,Aarav Gupta,customer49@example.com,9148814238,2026-01-11
50,Aditi Khan,customer50@example.com,9799145494,2026-06-14
51,Aditi Jain,customer51@example.com,9763688866,2026-02-23
